Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Femenino,5,0,11,15,2,15,45,3
Si,Femenino,4,0,8,13,2,30,45,1
Si,Femenino,4,0,7,14,2,30,45,4
Si,Masculino,5,0,11,18,3,30,45,5
Si,Masculino,5,0,11,19,3,30,45,5
Si,Masculino,5,0,13,18,3,30,45,5
Si,Masculino,5,0,13,19,3,30,45,5
Si,Masculino,4,0,7,12,2,30,45,3
Si,Masculino,5,2,7,14,2,45,45,4
Si,Masculino,5,2,15,14,2,45,45,4
Si,Masculino,5,2,14,14,2,45,45,4
Si,Masculino,4,0,7,14,3,45,30,5
Si,Masculino,4,0,8,14,3,45,30,5
Si,Masculino,5,0,7,14,3,45,60,4
Si,Masculino,5,0,8,14,3,45,60,4
Si,Masculino,5,0,7,14,1,44,45,4
Si,Masculino,5,0,7,15,1,44,45,4
Si,Femenino,5,0,7,16,1,15,45,5
Si,Masculino,5,0,11,17,4,15,45,5
Si,Masculino,5,0,13,17,4,15,45,5
Si,Femenino,5,0,7,13,2,44,60,3
Si,Femenino,5,0,7,14,2,44,60,3
Si,Femenino,5,0,7,17,2,44,60,3
Si,Femenino,5,0,9,13,2,44,60,3
Si,Femenino,5,0,9,14,2,44,60,3
Si,Femenino,5,0,9,17,2,44,60,3
Si,Femenino,5,0,11,13,2,44,60,3
Si,Femenino,5,0,11,14,2,44,60,3
Si,Femenino,5,0,11,17,2,44,60,3
Si,Masculino,5,0,7,14,1,15,60,5
Si,Masculino,5,0,7,15,3,30,60,5
Si,S/G,5,0,7,15,3,30,45,5
Si,bbb,4,0,7,14,3,45,60,5
Si,Masculino,1,0,11,14,1,30,45,5
Si,Masculino,1,0,11,16,1,30,45,5
Si,Masculino,5,0,7,12,2,15,30,2
Si,Masculino,5,0,7,16,2,15,30,2
Si,Femenino,5,0,7,19,4,30,60,3
Si,Femenino,5,0,7,15,2,30,60,4
Si,Femenino,5,0,7,16,2,30,60,4
Si,Femenino,5,0,7,17,2,30,60,4
Si,Femenino,5,0,7,18,2,44,29,3
Si,Masculino,5,0,7,16,2,15,45,5
Si,Masculino,5,0,7,15,3,30,60,1
Si,Femenino,5,0,8,13,1,15,45,3
Si,Femenino,5,0,10,13,1,15,45,3
Si,Femenino,5,0,9,14,2,15,45,4
Si,Femenino,5,0,10,14,2,15,45,4
Si,Femenino,5,0,7,14,2,15,45,4
Si,Masculino,5,0,8,17,1,15,45,4
Si,Masculino,5,0,7,18,2,44,45,4
Si,Femenino,5,0,7,17,2,15,30,3
Si,Femenino,5,0,7,18,2,15,30,3
Si,Femenino,5,0,7,15,2,15,30,3
Si,Femenino,5,0,7,17,3,30,29,4
Si,Femenino,5,0,10,17,3,30,29,4
Si,Femenino,5,0,9,17,3,30,29,4
Si,Masculino,5,0,7,17,2,30,45,4
Si,Masculino,5,0,9,17,2,30,45,4
Si,Masculino,5,0,11,17,2,30,45,4
Si,Masculino,5,0,7,14,4,60,60,5
Si,Masculino,4,0,9,12,2,30,60,4
Si,Masculino,5,0,7,12,1,45,29,4
Si,Masculino,5,0,7,18,3,15,30,4
Si,Femenino,5,0,7,15,2,30,30,3
Si,Masculino,5,0,7,18,2,30,30,4
Si,Masculino,4,0,0,15,2,30,45,5
Si,Masculino,4,0,0,16,2,30,45,5
Si,Masculino,4,2,9,18,3,30,30,3
Si,S/G,5,0,7,12,2,30,30,4
Si,S/G,5,0,7,14,2,30,30,4
Si,Femenino,5,0,8,14,3,30,30,4
Si,Femenino,5,0,7,14,2,15,45,4
Si,Femenino,5,0,7,15,2,15,45,4
Si,Femenino,5,0,12,14,2,15,45,4
Si,Femenino,5,0,12,15,2,15,45,4
Si,Femenino,5,0,14,14,2,15,45,4
Si,Femenino,5,0,14,15,2,15,45,4
Si,Femenino,5,0,11,18,1,15,60,5
Si,Masculino,4,0,7,16,2,45,60,4
Si,Masculino,4,0,8,16,2,45,60,4
Si,Masculino,4,0,9,16,2,45,60,4
Si,Femenino,5,0,7,14,2,15,30,5
Si,Femenino,4,0,8,14,2,30,60,5
Si,Masculino,5,0,10,14,2,15,45,3
Si,Femenino,5,0,10,12,2,45,30,4
Si,Masculino,5,0,10,15,2,15,45,3
Si,S/G,5,2,7,15,2,45,60,4
Si,Femenino,5,0,10,14,1,45,45,3
Si,Femenino,5,0,10,16,1,15,29,5
Si,Femenino,5,0,10,14,2,15,30,5
Si,Femenino,5,0,10,18,2,44,45,5
